Giniratio Provinsi,,
NAMA WILAYAH,TAHUN,GINI RATIO (Persen)
PAPUA SELATAN,2017,-
PAPUA SELATAN,2018,-
PAPUA SELATAN,2019,-
PAPUA SELATAN,2020,-
PAPUA SELATAN,2021,-
PAPUA SELATAN,2022,-
PAPUA SELATAN,2023,-
PAPUA TENGAH,2016,-
PAPUA TENGAH,2017,-
PAPUA TENGAH,2018,-
PAPUA TENGAH,2019,-
PAPUA TENGAH,2020,-
PAPUA TENGAH,2021,-
PAPUA TENGAH,2022,-
PAPUA TENGAH,2023,-
PAPUA PEGUNUNGAN,2016,-
PAPUA PEGUNUNGAN,2017,-
PAPUA PEGUNUNGAN,2018,-
PAPUA PEGUNUNGAN,2019,-
PAPUA PEGUNUNGAN,2020,-
PAPUA PEGUNUNGAN,2021,-
PAPUA PEGUNUNGAN,2022,-
PAPUA PEGUNUNGAN,2023,-
INDONESIA,2016,0.394
INDONESIA,2017,0.391
INDONESIA,2018,0.384
INDONESIA,2019,0.38
INDONESIA,2020,0.385
INDONESIA,2021,0.381
INDONESIA,2022,0.381
INDONESIA,2023,0.388
